name,lat,lon,category,price_tier,popularity,photo_url,tags.name,tags.tourism,tags.brand,tags.brand:wikidata,tags.shop,tags.amenity,tags.brand:pa,tags.brand:ur,tags.brand:wikipedia,tags.brand:wikipedia:pa,tags.brand:wikipedia:ur,tags.cuisine,tags.name:pa,tags.name:ur,tags.takeaway,tags.address,tags.bar,tags.ramp,tags.addr:city,tags.addr:street,tags.name:mr,tags.addr:district,tags.addr:postcode,tags.air_conditioning,tags.cinema:3D,tags.deaf:description:en,tags.description,tags.drive_in,tags.lift_gate:type,tags.open_air,tags.opening_hours,tags.operator,tags.payment:cash,tags.payment:credit_cards,tags.payment:debit_cards,tags.payment:online_payment,tags.payment:online_wallet,tags.screen,tags.website,tags.wheelchair,tags.wikimedia_commons,tags.delivery,tags.outdoor_seating,tags.source,tags.addr:country,tags.addr:state,tags.internet_access,tags.microbrewery,tags.phone,tags.smoking,tags.atm,tags.addr:housenumber,tags.internet_access:fee,tags.official_name,tags.official_name:pa,tags.official_name:ur,tags.diet:non-vegetarian,tags.diet:vegetarian,tags.place,tags.wikidata,tags.wikipedia,tags.email,tags.ele,tags.payment:app,tags.alt_name,tags.natural,tags.addr:floor,tags.check_date,tags.level,tags.name:en,tags.wifi,tags.drive_through,tags.addr:housename,tags.alt_name:es,tags.alt_name:mr,tags.alt_name:ur,tags.leisure,tags.name:ar,tags.name:azb,tags.name:be,tags.name:el,tags.name:es,tags.name:fa,tags.name:hi,tags.name:hy,tags.name:ja,tags.name:kn,tags.name:ks,tags.name:ml,tags.name:pnb,tags.name:ps,tags.name:ru,tags.name:sr,tags.name:uk,tags.population,tags.brand:ks,tags.contact:facebook,tags.addr:place,tags.check_date:opening_hours,tags.organic,tags.food,tags.castle_type,tags.historic,tags.diet:gluten_free,tags.diet:halal,tags.diet:kosher,tags.diet:vegan,tags.alt_name:en,tags.alt_name:hi,tags.alt_name:pa,tags.alt_name:pnb,tags.brand:en,tags.brand:hi,tags.brand:pnb,tags.museum,tags.operator:type,tags.branch,tags.addr:suburb,tags.diet:lacto_vegetarian,tags.capacity,tags.contact:phone,tags.contact:website,tags.diet:ovo_vegetarian,tags.fixme,tags.rooms,tags.phone_1,tags.name:gu,tags.indoor:level,tags.website:menu,tags.toilets,tags.addr:unit,tags.delivery:partner,tags.contact:instagram,tags.payment:upi,tags.brand:short,tags.payment:online_booking,tags.addr:full,tags.note,tags.payment:american_express,tags.self_service,tags.payment:google_pay,tags.payment:upi_qr,tags.reservation,tags.contact:email,tags.contact:twitter,tags.contact:youtube,tags.dog,tags.diet:chicken,tags.brewery,tags.addr:source,tags.payment:mastercard,tags.payment:visa,tags.start_date,tags.payment:paytm,tags.payment:electronic_purses,tags.access,tags.fee,tags.garden:type,tags.timing,tags.short_name,tags.short_name:ur,tags.covered,tags.diet:meat,tags.opening_hours:covid19,tags.construction,tags.name:etymology:wikidata,tags.internet_access:ssid,tags.payment:coins,tags.theatre:type,tags.currency:rupee,tags.diet:organic,tags.diet:lactose_free,tags.diet:pescetarian,tags.min_age,tags.addr:neighbourhood,tags.building,tags.indoor_seating,tags.addr:building,tags.currency:INR,tags.payment:net_banking,tags.payment:notes,tags.payment:rupay,tags.payment:contactless,tags.survey:date,tags.addr:locality,tags.highchair,tags.diet:seafood,tags.office,tags.payment:cards,tags.payment:apple_pay,tags.payment:pay_later,tags.full_name,tags.full_name:en,tags.not:brand:wikidata,tags.changing_table,tags.payment:maestro,tags.contact:linkedin,tags.contact:pinterest,tags.fast_food,tags.lgbtq,tags.becknified,tags.providerId,tags.outdoor,tags.wheelchair:ramp,tags.diet:fish,tags.diet:local,tags.established,tags.diet:sugar_free,tags.toilets:access,tags.diet:alcohol_free,tags.toilets:wheelchair,tags.mobile,tags.payment:qr_code,tags.entrance,tags.image,tags.loc_name,tags.fax,tags.layer,tags.area,tags.water,tags.building:levels,tags.height,tags.name:etymology:wikipedia,tags.designation,tags.addr:province,tags.landuse,tags.proposed,tags.barrier,tags.payment:mobikwik,tags.payment:phonepe,tags.surface,tags.building:material,tags.roof:levels,tags.roof:shape,tags.reg_name,tags.payment:mobile_wallet,tags.addr:county,tags.building:material:concrete,tags.nohousenumber,tags.diet:plant-based,tags.stroller,tags.diet:fruitarian,tags.diet:raw,tags.leaf_cycle,tags.leaf_type,tags.stars,tags.postal_code,tags.charge,tags.waterway,tags.location,tags.lit,tags.highway,tags.diet:omnivore,tags.addr:neighborhood,tags.building:levels:underground,tags.type
Lion Point,18.7041145,73.3876167,viewpoint,2,0.6000000000000001,,Lion Point,viewpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reliance Fresh,18.5480228,73.920474,supermarket,2,0.4,,Reliance Fresh,,Reliance Fresh,Q7311014,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McDonald's,18.5457237,73.9062599,fast_food,2,0.4,,McDonald's,,McDonald's,Q38076,,fast_food,ਮੈਕਡੋਨਲਡ’ਜ਼,مکڈونلڈز,en:McDonald's,ਮੈਕਡੋਨਲਡ’ਜ਼,مکڈونلڈز,burger,ਮੈਕਡੋਨਲਡ’ਜ਼,مکڈونلڈز,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Charcoal Pit,18.5167868,73.8791405,restaurant,2,0.5,,The Charcoal Pit,,,,,restaurant,,,,,,,,,,5 M. G. Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Great Punjab,18.5364098,73.8973015,restaurant,2,0.5,,The Great Punjab,,,,,restaurant,,,,,,indian,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shisha Jazz Cafe,18.5391279,73.9049627,cafe,2,0.5,,Shisha Jazz Cafe,,,,,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
German Bakery,18.5396234,73.8873711,cafe,2,0.5,,German Bakery,,,,,cafe,,,,,,,,,,,,,Pune,Koregaon Park,जर्मन बेकरी,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anand Thali,18.5009808,73.9448522,restaurant,2,0.5,,Anand Thali,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-Square Multiplex,18.5378515,73.8355739,cinema,2,0.4,,E-Square Multiplex,,,,,cinema,,,,,,,,,,,,,Pune,Ganeshkhind Road,,Pune,411016,yes,yes,This cinema regularily offers movies with subtitles,One of the very first multi-plex cinemas to open in Pune.,no,double,no,Mo-Su 08:00-22:00,E Square,yes,yes,yes,yes,yes,6,https://in.bookmyshow.com/pune/cinemas/esquare-carnival-university-road/CLAC,yes,File:Esquare3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hard Rock Cafe,18.5387955,73.912781,restaurant,2,0.5,,Hard Rock Cafe,,Hard Rock Cafe,Q918151,,restaurant,,,,,,american,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
